"","age","gender","study_hours_per_day","social_media_hours","netflix_hours","part_time_job","attendance_percentage","sleep_hours","diet_quality","exercise_frequency","parental_education_level","internet_quality","mental_health_rating","extracurricular_participation","exam_score"
"1",23,"Female",0.290529864596838,1.26594272594948,1.98027750222993,"No",85,8.76435208522048,"Fair",6,"Master","Average",8,"Yes",78.6003694449379
"2",20,"Female",5.66841620176126,2.44728650542419,2.39593395397706,"No",97.3,5.75886815077923,"Good",6,"High School","Average",8,"No",100
"3",21,"Male",1.52308706295659,2.98462392223745,1.86824990338501,"No",94.8,8.41210865589386,"Poor",1,"High School","Poor",1,"No",60.2637747044199
"4",23,"Female",1.2939047431862,3.35566332786986,2.04955074871245,"No",71,8.7814976317806,"Poor",4,"Master","Good",1,"Yes",51.1007593334803
"5",19,"Female",4.07146803490226,3.60135857607952,1.34295523632889,"No",90.9,6.34282976897412,"Fair",3,"Master","Good",1,"No",84.793888849376
"6",24,"Male",5.62570025140671,1.64502700998757,0.589529132982684,"No",82.9,8.15535822958314,"Fair",1,"Master","Average",4,"No",100
"7",21,"Female",4.45901349345117,1.62364582991501,1.96727914238687,"Yes",85.8,7.35886392603508,"Good",2,"Master","Poor",4,"No",96.0047374201641
"8",21,"Female",3.48897151103783,1.18481595947036,2.21885727262411,"Yes",77.7,6.5433517047221,"Fair",0,"Bachelor","Average",8,"No",88.1089222053003
"9",23,"Female",3.68702921655135,1.93963324604287,1.89801109587635,"No",100,8.13339607210447,"Good",3,"Bachelor","Good",1,"No",91.1992260804981
"10",18,"Female",3.64893440220151,2.75793240926558,1.91140513080807,"No",95.4,8.08667457159975,"Good",5,"Bachelor","Good",10,"Yes",100
"11",19,"Female",3.96152996906655,2.87015160308768,1.33371142383965,"No",77.6,7.07906198177593,"Fair",1,"None","Good",3,"No",83.0183622330257
"12",23,"Male",4.06891550453688,1.73055636494847,2.05362651853498,"No",71.7,8.54467461888792,"Fair",2,"Bachelor","Average",1,"No",89.0184157608063
"13",19,"Female",3.39348771345166,1.93677131235631,0.917178236238655,"Yes",81.1,6.16134564878482,"Fair",1,"Bachelor","Good",9,"No",90.2457514366744
"14",19,"Female",2.67025459383556,2.47037265338839,2.92250463991972,"No",89.3,6.28920471334051,"Fair",4,"Bachelor","Good",10,"No",89.71071432227
"15",24,"Male",2.49507964748019,1.85513584829967,1.69415055646744,"No",87.4,6.93503652191105,"Poor",6,"Bachelor","Average",9,"No",91.1992260804981
"16",21,"Male",2.74156325965962,3.82503982179238,1.42823070980392,"No",97.5,7.62961350525589,"Good",6,"High School","Average",7,"No",88.8182222984488
"17",20,"Male",1.08331792342087,0.82855942345358,1.01418176728625,"No",92.9,7.30516845053491,"Poor",3,"High School","Poor",8,"Yes",77.9336406324759
"18",24,"Female",2.59402759620451,2.37661618622781,1.78933588997734,"No",94.7,8.41678749212737,"Poor",0,"High School","Average",1,"Yes",87.1765938063189
"19",24,"Other",2.42523322635424,3.57845649141352,2.42046984318891,"Yes",88.3,8.36514993546107,"Good",2,"High School","Good",5,"No",69.4277370104936
"20",19,"Male",1.65045457227659,3.08275450945612,3.09778660346035,"No",71.1,7.44122487011224,"Fair",1,"High School","Average",2,"No",70.5935304162045
"21",22,"Female",3.1809803340503,1.97157831015393,2.72881112297263,"No",83,7.65629372897892,"Good",3,"Master","Good",1,"No",80.0898861771143
"22",21,"Male",3.7846506093733,1.89801910258923,2.89059119376875,"No",95.6,8.5492130863158,"Fair",1,"High School","Good",3,"No",92.8561163820827
"23",18,"Other",2.78947864881539,3.14994152227264,1.95246931820356,"No",84.5,7.61192772846499,"Fair",3,"High School","Average",7,"No",99.5140691960677
"24",24,"Female",1.37554308328817,3.7318136132575,1.87191700839221,"Yes",90,9.18681356056829,"Fair",6,"Bachelor","Good",1,"No",69.2581668650257
"25",20,"Female",2.14565867295875,0.819848551045226,1.27325335523478,"Yes",81.8,7.05501348429746,"Fair",4,"Bachelor","Average",2,"No",77.7312652142828
"26",22,"Male",4.49787368806322,2.87365869562162,2.80082996311049,"No",74.7,9.08457418358136,"Fair",1,"High School","Average",2,"Yes",86.7015024992942
"27",22,"Male",2.07794671031665,0.837513187096861,0.87514699751393,"No",83.8,7.9499907942813,"Good",4,"Bachelor","Poor",4,"No",88.5664532165787
"28",18,"Male",3.14539049889214,1.87548328723833,3.00242947183142,"Yes",88.1,6.1549269416636,"Fair",5,"Bachelor","Average",3,"No",87.3336164391378
"29",24,"Male",3.62467293901423,1.91201846496524,2.33831144389816,"Yes",78.4,8.487028367067,"Good",5,"High School","Poor",3,"Yes",92.9909107127747
"30",20,"Female",1.50398253930296,2.74333625343956,3.67568484714966,"Yes",82.6,7.9657799661721,"Poor",6,"High School","Poor",10,"Yes",89.6616901602552
"31",21,"Female",3.18973004206697,0.910857822326733,1.23998918243731,"No",75.6,8.87497560776767,"Fair",2,"Master","Average",5,"No",87.0715419757738
"32",17,"Other",0.95848249890363,2.92319650049542,3.28839601708795,"Yes",96.2,8.60182529753499,"Fair",4,"Bachelor","Average",3,"Yes",75.2126190220502
"33",20,"Other",2.38117413114484,3.26629050655967,3.48818594959038,"No",82.1,8.52422571080217,"Good",3,"Bachelor","Good",7,"No",75.7872656502322
"34",18,"Female",3.23161042003848,1.18656904664668,1.88626274764347,"No",99.5,6.9806045809989,"Poor",2,"None","Average",5,"No",87.1241050380993
"35",22,"Female",1.7206444012651,2.23171706511584,0.68072525703942,"No",100,8.29095303836518,"Fair",1,"High School","Good",4,"No",75.1401589067036
"36",21,"Female",3.67816880169677,1.13713264266429,0.625966416326637,"Yes",84.2,7.93700501654495,"Good",1,"Bachelor","Average",3,"No",88.1089222053003
"37",20,"Female",2.93694675575783,2.62498890843284,2.76700885379737,"No",74.9,8.25148130532978,"Fair",3,"High School","Good",4,"No",87.1241050380993
"38",17,"Male",4.23471483817722,2.01654111099546,0.135981773303138,"Yes",64.1,5.509081287894,"Good",0,"High School","Average",2,"No",80.6568559279501
"39",17,"Male",2.81053736983845,1.86106192855237,2.0014880479231,"No",70.3,7.78208451974189,"Poor",0,"Bachelor","Good",1,"No",79.8350941152814
"40",19,"Male",4.12468697237649,2.78320667389683,2.84346589155107,"No",71.3,6.98073287940567,"Good",1,"High School","Average",3,"No",92.7659809074121
"41",19,"Female",2.17510047079322,3.81758835770165,2.72701534606734,"No",98.8,9.58061462172137,"Good",6,"Bachelor","Good",2,"No",86.5950961304104
"42",23,"Female",2.12209279646847,2.72704965543773,2.61556693243812,"No",86.2,8.01271654267222,"Good",6,"Bachelor","Average",1,"No",84.5695026843172
"43",18,"Male",3.3247138898204,2.83428850036287,1.95880115215656,"No",88.9,8.10755408038806,"Fair",3,"High School","Poor",1,"Yes",83.1355099558298
"44",24,"Female",3.52000396125479,1.17114485229604,2.7080562091908,"No",62.8,8.12553336884947,"Poor",0,"Bachelor","Good",2,"No",84.4003188047553
"45",20,"Female",3.31642485691393,1.22763616981346,0.846282601588216,"No",73,7.42766808985875,"Good",4,"High School","Poor",9,"No",91.0104795632093
"46",20,"Male",3.46855205748684,3.08591061873532,2.02371899492492,"No",93.9,8.11027714194763,"Fair",1,"Bachelor","Average",5,"Yes",89.3661782772585
"47",24,"Male",2.40471795209777,3.44407026116975,1.34969266437407,"No",87.9,9.43945941311015,"Poor",5,"High School","Average",9,"Yes",87.2813492984435
"48",23,"Female",1.93924715966962,2.3414620772971,2.79889451754343,"No",83.5,8.34217872652438,"Good",4,"None","Good",8,"Yes",80.8439384260519
"49",22,"Female",1.25561921057408,2.47658997779991,2.80509755776512,"No",90.6,9.08321481225645,"Fair",3,"Bachelor","Good",6,"No",76.1419560001994
"50",22,"Female",4.60234828064257,2.14108206165857,2.67610301358724,"No",100,6.93826762150456,"Poor",5,"High School","Average",1,"No",98.6769563514979
"51",23,"Female",1.65593525723125,1.36953251060213,3.02596282243274,"No",82.8,6.92957707971557,"Fair",4,"Master","Good",10,"Yes",82.247759378273
"52",22,"Female",2.32432325893493,2.13482302759765,0.989190613084456,"No",85.7,8.25184989742949,"Poor",0,"High School","Average",5,"No",80.8439384260519
"53",19,"Female",2.21927032422099,2.96036086858576,3.13422561196855,"No",86.9,8.06309491839359,"Fair",6,"High School","Average",1,"No",73.0516521250015
"54",20,"Female",3.62527710599994,2.24173582657013,3.60350755284574,"No",100,7.30667233430547,"Good",0,"Bachelor","Good",7,"Yes",87.0715419757738
"55",23,"Female",2.54377019860716,1.84920049117396,2.69882030223093,"Yes",64,7.98397788442827,"Fair",5,"High School","Good",10,"No",85.7326876241333
"56",20,"Male",3.71485806387868,2.6822627640013,3.75261947083374,"No",91.8,8.1439086824882,"Good",2,"High School","Good",8,"No",94.9136637644652
"57",24,"Male",2.03956003274062,2.14726784743128,0.974016566210623,"No",83.9,6.93575672507576,"Good",6,"Bachelor","Average",8,"No",84.9612931779398
"58",17,"Male",3.67802458373232,1.96558294934093,1.39270376338951,"No",90.7,7.91691454030305,"Good",1,"Bachelor","Average",7,"Yes",89.4155938498634
"59",19,"Female",2.12504548231227,3.65832489712245,1.35880364790339,"No",78.4,8.69555902954454,"Poor",5,"Master","Average",2,"Yes",71.4845083132671
"60",21,"Female",5.27869856638529,1.91646808340779,2.54224101872619,"No",84.5,7.3407308580288,"Good",3,"Master","Average",5,"Yes",98.9071376504354
